90	0
89	1
88	2
87	3
86	4
85	5
85	6
84	7
83	8
82	9
82	10
81	11
81	12
80	13
79	14
79	15
78	16
78	17
77	18
77	19
76	20
75	21
75	22
74	23
74	24
73	25
73	26
72	27
72	28
71	29
71	30
70	31
70	32
70	33
69	34
69	35
68	36
68	37
67	38
67	39
67	40
66	41
66	42
66	43
65	44
65	45
64	46
64	47
63	48
63	49
63	50
63	51
62	52
63	53
62	54
61	55
61	56
61	57
61	58
60	59
60	60
60	61
59	62
59	63
59	64
58	65
58	66
58	67
57	68
57	69
57	70
57	71
56	72
56	73
56	74
56	75
55	76
55	77
55	78
55	79
54	80
54	81
54	82
54	83
53	84
53	85
53	86
53	87
52	88
52	89
52	90
52	91
52	92
52	93
51	94
51	95
51	96
51	97
51	98
50	99
50	100
50	101
50	102
50	103
50	104
